q,IoT,AI,N5,N4P,N3
2021-Q1,0,0,30,0,0
2021-Q3,6,0,0,0,0
2021-Q4,12,9,66,12,12
2022-Q2,6,12,6,6,12
2022-Q3,0,0,12,0,12
