Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,q
2020-04-01 00:00:00-04:00,47.90669163,52.98217322,45.07683888,51.82284546,363137500,0.42,0,2020-Q2
2020-07-01 00:00:00-04:00,52.3941969,79.81906792,52.20106134,74.55849457,735819800,0.427,0,2020-Q3
2020-10-01 00:00:00-04:00,75.8586335,101.4098478,74.51821441,100.7997284,495074700,0.442,0,2020-Q4
2021-01-01 00:00:00-05:00,103.4808676,132.0084228,100.157447,109.8027878,835439300,0.448,0,2021-Q1
2021-04-01 00:00:00-04:00,114.4376817,118.7147717,100.5161899,111.9683456,562218300,0.451,0,2021-Q2
2021-07-01 00:00:00-04:00,112.3417323,117.6548138,100.724046,104.4375916,508432700,0.497,0,2021-Q3
2021-10-01 00:00:00-04:00,105.1952988,120.3077271,101.0438432,113.000412,496617500,0.496,0,2021-Q4
2022-01-01 00:00:00-05:00,117.0705953,136.7536993,92.06825172,98.33062744,898893800,0.49,0,2022-Q1
2022-04-01 00:00:00-04:00,100.2358529,100.4064352,75.92792916,77.47264099,645342400,0.467,0,2022-Q2
2022-07-01 00:00:00-04:00,75.29896194,87.58839403,64.53379886,65.31498718,736334300,0.448,0,2022-Q3
2022-10-01 00:00:00-04:00,65.22452025,80.12230174,56.937326,71.36566162,965595900,0.451,0,2022-Q4
2023-01-01 00:00:00-05:00,73.0805128,95.37560912,71.07645739,89.62358856,815842500,0.449,0,2023-Q1
2023-04-01 00:00:00-04:00,90.08047015,107.2036043,78.65213128,97.74132538,736162100,0.448,0,2023-Q2
2023-07-01 00:00:00-04:00,99.44419634,104.3556242,81.71443562,84.51541138,552612400,0.471,0,2023-Q3
2023-10-01 00:00:00-04:00,85.22779717,103.1571099,83.04772981,101.6711502,565936400,0.479,0,2023-Q4
2024-01-01 00:00:00-05:00,100.4314165,155.5827458,97.04278003,133.6302643,956955900,0.554,0,2024-Q1
2024-04-01 00:00:00-04:00,135.3957916,182.3094715,124.0446015,171.4119263,916797500,0.544,0,2024-Q2
2024-07-01 00:00:00-04:00,172.3781254,191.4026347,132.1427155,171.814209,1049225900,0.626,0,2024-Q3
2024-10-01 00:00:00-04:00,174.0768127,211.1045117,169.5786793,196.1007996,856341000,0.616,0,2024-Q4
2025-01-01 00:00:00-05:00,196.2354304,225.5213211,159.1100734,165.3557434,1025509800,0.684,0,2025-Q1
